,submission_date,state,tot_cases,new_case,pnew_case,tot_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
65,2020-01-22T00:00:00.000,NY,0,0,,0,0,,2020-03-26T16:22:39.452,Not agree,Not agree
235,2020-01-23T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
414,2020-01-24T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
76,2020-01-25T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
594,2020-01-26T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
464,2020-01-27T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
584,2020-01-28T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
249,2020-01-29T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
568,2020-01-30T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
22,2020-01-31T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
51,2020-02-01T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
276,2020-02-02T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
502,2020-02-03T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
391,2020-02-04T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
180,2020-02-05T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
431,2020-02-06T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
108,2020-02-07T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
109,2020-02-08T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
92,2020-02-09T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
269,2020-02-10T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
280,2020-02-11T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
342,2020-02-12T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
386,2020-02-13T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
172,2020-02-14T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
11,2020-02-15T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
147,2020-02-16T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
578,2020-02-17T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
61,2020-02-18T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
132,2020-02-19T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
183,2020-02-20T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
542,2020-02-21T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
299,2020-02-22T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
564,2020-02-23T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
41,2020-02-24T00:00:00.000,NY,0,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
