,date,fips,mmwr_week,recip_county,recip_state,series_complete_pop_pct,series_complete_yes,series_complete_12plus,series_complete_12pluspop,series_complete_18plus,series_complete_18pluspop,series_complete_65plus,series_complete_65pluspop,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi,metro_status,series_complete_pop_pct_ur_equity,series_complete_12pluspop_pct_ur_equity,series_complete_18pluspop_pct_ur_equity,series_complete_65pluspop_pct_ur_equity
288,2020-12-13T00:00:00.000,36027,51,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
287,2020-12-14T00:00:00.000,36027,51,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
286,2020-12-15T00:00:00.000,36027,51,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
285,2020-12-16T00:00:00.000,36027,51,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
284,2020-12-17T00:00:00.000,36027,51,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
283,2020-12-18T00:00:00.000,36027,51,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
282,2020-12-19T00:00:00.000,36027,51,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
281,2020-12-20T00:00:00.000,36027,52,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
280,2020-12-21T00:00:00.000,36027,52,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
279,2020-12-22T00:00:00.000,36027,52,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
278,2020-12-23T00:00:00.000,36027,52,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
277,2020-12-24T00:00:00.000,36027,52,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
276,2020-12-25T00:00:00.000,36027,52,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
275,2020-12-26T00:00:00.000,36027,52,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
274,2020-12-27T00:00:00.000,36027,53,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
273,2020-12-28T00:00:00.000,36027,53,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
272,2020-12-29T00:00:00.000,36027,53,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
271,2020-12-30T00:00:00.000,36027,53,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
270,2020-12-31T00:00:00.000,36027,53,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
269,2021-01-01T00:00:00.000,36027,53,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
268,2021-01-02T00:00:00.000,36027,53,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
267,2021-01-03T00:00:00.000,36027,1,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
266,2021-01-04T00:00:00.000,36027,1,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
265,2021-01-05T00:00:00.000,36027,1,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
264,2021-01-06T00:00:00.000,36027,1,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
263,2021-01-07T00:00:00.000,36027,1,Dutchess County,NY,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Metro,,,,
262,2021-01-08T00:00:00.000,36027,1,Dutchess County,NY,0.1,202,202,0.1,202,0.1,17,0,91.3,5211,1.8,5211,2.0,5208,2.2,1261,2.4,B,5,5,5,5,Metro,1,1,1,
261,2021-01-09T00:00:00.000,36027,1,Dutchess County,NY,0.1,353,353,0.1,353,0.1,35,0.1,91.4,6578,2.2,6578,2.5,6575,2.7,1569,2.9,B,5,5,5,5,Metro,1,1,1,1
260,2021-01-10T00:00:00.000,36027,2,Dutchess County,NY,0.2,445,445,0.2,445,0.2,42,0.1,91.4,7231,2.5,7231,2.8,7227,3,1632,3.1,B,5,5,5,5,Metro,1,1,1,1
259,2021-01-11T00:00:00.000,36027,2,Dutchess County,NY,0.2,473,473,0.2,473,0.2,44,0.1,91.7,7672,2.6,7672,2.9,7668,3.2,1687,3.2,B,5,5,5,5,Metro,1,1,1,1
258,2021-01-12T00:00:00.000,36027,2,Dutchess County,NY,0.2,515,515,0.2,515,0.2,47,0.1,92.3,8058,2.7,8058,3.1,8054,3.4,1779,3.3,B,5,5,5,5,Metro,1,1,1,1
257,2021-01-13T00:00:00.000,36027,2,Dutchess County,NY,0.2,607,607,0.2,607,0.3,58,0.1,93,8679,2.9,8679,3.3,8675,3.6,2013,3.8,B,5,5,5,5,Metro,1,1,1,1
256,2021-01-14T00:00:00.000,36027,2,Dutchess County,NY,0.2,674,674,0.3,674,0.3,64,0.1,93.5,9003,3.1,9003,3.5,8999,3.8,2142,4,B,5,5,5,5,Metro,1,1,1,1
255,2021-01-15T00:00:00.000,36027,2,Dutchess County,NY,0.2,714,714,0.3,714,0.3,69,0.1,93.2,9262,3.1,9262,3.6,9258,3.9,2238,4.2,B,5,5,5,5,Metro,1,1,1,1
254,2021-01-16T00:00:00.000,36027,2,Dutchess County,NY,0.3,850,850,0.3,850,0.4,111,0.2,93.9,9947,3.4,9947,3.8,9943,4.2,2547,4.8,B,5,5,5,5,Metro,1,1,1,1
253,2021-01-17T00:00:00.000,36027,3,Dutchess County,NY,0.4,1102,1102,0.4,1102,0.5,250,0.5,94,10542,3.6,10542,4.1,10536,4.4,2849,5.3,B,5,5,5,5,Metro,1,1,1,1
